Attribute,Variant,Value
Model Name,Watch6 Classic LTE 47mm,SM-R960NZKAINU
Model Name,Watch6 Classic LTE 43mm,SM-R950NZKAINU
Display,47mm,"1.5"" Super AMOLED, 480 x 480"
Display,43mm,"1.3"" Super AMOLED, 432 x 432"
Battery,47mm,425mAh
Battery,43mm,300mAh
RAM,All,2GB
Storage,All,16GB
Processor,All,"Exynos W930, Dual-Core 1.4GHz"
Operating System,All,Wear OS Powered by Samsung
Features,All,"Rotating bezel, Sleep tracking, Fitness tracking"
Connectivity,All,"LTE, Wi-Fi, Bluetooth 5.3"
Durability,All,"5ATM + IP68, MIL-STD-810H"
